data,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS2M,ano,mes,dia_semana,trimestre,amplitude,dia_chuvoso,T2M_mm30
2019-01-01,25.39,29.72,21.06,0.0,81.4,3.07,2019,1,1,1,8.66,0,
2019-01-02,24.08,28.74,19.41,0.0,79.7,2.61,2019,1,2,1,9.329999999999998,0,
2019-01-03,24.94,28.52,21.36,0.0,74.3,2.01,2019,1,3,1,7.16,0,
2019-01-04,25.07,28.48,21.65,0.0,79.5,4.85,2019,1,4,1,6.830000000000002,0,
2019-01-05,23.52,27.54,19.5,29.27,79.6,5.82,2019,1,5,1,8.04,1,
2019-01-06,23.42,26.22,20.61,0.0,89.4,5.46,2019,1,6,1,5.609999999999999,0,
2019-01-07,22.3,26.1,18.5,0.0,82.9,5.63,2019,1,0,1,7.600000000000001,0,
2019-01-08,24.29,27.76,20.82,0.0,80.8,2.71,2019,1,1,1,6.940000000000001,0,
2019-01-09,26.4,30.26,22.55,40.93,85.6,2.2,2019,1,2,1,7.710000000000001,1,
2019-01-10,23.94,28.0,19.89,0.0,81.3,2.79,2019,1,3,1,8.11,0,
2019-01-11,25.96,30.68,21.24,0.0,87.4,4.27,2019,1,4,1,9.440000000000001,0,
2019-01-12,23.34,27.24,19.44,0.0,95.5,2.11,2019,1,5,1,7.799999999999997,0,
2019-01-13,24.66,27.94,21.37,0.0,80.8,3.1,2019,1,6,1,6.57,0,
2019-01-14,25.14,29.53,20.75,22.71,80.3,5.72,2019,1,0,1,8.780000000000001,1,
2019-01-15,25.09,28.06,22.13,0.0,87.5,3.86,2019,1,1,1,5.93,0,
2019-01-16,23.24,26.31,20.17,0.0,80.7,4.12,2019,1,2,1,6.139999999999997,0,24.44
2019-01-17,24.97,28.75,21.19,0.0,80.4,2.98,2019,1,3,1,7.559999999999999,0,24.435000000000002
2019-01-18,24.21,28.01,20.41,0.0,83.6,4.03,2019,1,4,1,7.600000000000001,0,24.479333333333333
2019-01-19,24.37,27.5,21.24,0.0,77.7,2.03,2019,1,5,1,6.260000000000002,0,24.512333333333334
2019-01-20,24.61,27.24,21.98,0.0,91.9,3.15,2019,1,6,1,5.259999999999998,0,24.45266666666667
2019-01-21,25.04,28.77,21.32,0.0,85.1,1.87,2019,1,0,1,7.449999999999999,0,24.420666666666666
2019-01-22,25.92,29.34,22.5,0.0,78.4,4.82,2019,1,1,1,6.84,0,24.470000000000002
2019-01-23,28.44,33.03,23.85,0.0,88.8,5.6,2019,1,2,1,9.18,0,24.616666666666667
2019-01-24,21.71,25.82,17.6,28.34,84.5,3.2,2019,1,3,1,8.219999999999999,1,24.66466666666667
2019-01-25,23.09,27.9,18.28,0.0,80.7,5.43,2019,1,4,1,9.619999999999997,0,24.650333333333332
